2025-11-20 13:23:12,099 INFO    MainThread:57039 [wandb_setup.py:_flush():81] Current SDK version is 0.22.1
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_setup.py:_flush():81] Configure stats pid to 57039
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_setup.py:_flush():81] Loading settings from /Users/zhangxiaotong/.config/wandb/settings
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_setup.py:_flush():81] Loading settings from /Users/zhangxiaotong/Code/sigmarl-traffic/wandb/settings
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /Users/zhangxiaotong/Code/sigmarl-traffic/wandb/run-20251120_132312-xij1l08r/logs/debug.log
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /Users/zhangxiaotong/Code/sigmarl-traffic/wandb/run-20251120_132312-xij1l08r/logs/debug-internal.log
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_init.py:init():832] calling init triggers
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-11-20 13:23:12,100 INFO    MainThread:57039 [wandb_init.py:init():880] starting backend
2025-11-20 13:23:12,313 INFO    MainThread:57039 [wandb_init.py:init():883] sending inform_init request
2025-11-20 13:23:12,333 INFO    MainThread:57039 [wandb_init.py:init():891] backend started and connected
2025-11-20 13:23:12,335 INFO    MainThread:57039 [wandb_init.py:init():961] updated telemetry
2025-11-20 13:23:12,354 INFO    MainThread:57039 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-11-20 13:23:12,989 INFO    MainThread:57039 [wandb_init.py:init():1036] starting run threads in backend
2025-11-20 13:23:13,041 INFO    MainThread:57039 [wandb_run.py:_console_start():2506] atexit reg
2025-11-20 13:23:13,041 INFO    MainThread:57039 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-20 13:23:13,041 INFO    MainThread:57039 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-20 13:23:13,041 INFO    MainThread:57039 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-20 13:23:13,042 INFO    MainThread:57039 [wandb_init.py:init():1076] run started, returning control to user process
2025-11-20 13:23:25,132 INFO    wandb-AsyncioManager-main:57039 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-20 13:23:25,132 INFO    wandb-AsyncioManager-main:57039 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
